School DBN,School Name,School Admissions Method(s),Applicants,,,,,,,,,,Offers,,,,,,,,,
,,,Total,Asian,Black,Hispanic,Other,White,Private,Poverty,ELL,SWD,Total,Asian,Black,Hispanic,Other,White,Private,Poverty,ELL,SWD
09X324,Bronx Early College Academy for Teaching & Learnin,"MS:Limited Unscreened, HS:Screened",672,15,179,444,10,12,12,607,112,168,130,s,31,85,s,s,s,114,21,32
09X413,Bronx High School for Medical Science,"MS:Screened, HS:Screened",1025,50,302,610,20,23,20,904,175,173,151,s,56,80,s,s,s,127,27,38
09X568,Young Women's Leadership School of the Bronx,"MS:Screened, HS:Screened",555,26,186,313,6,12,12,487,43,100,112,6,36,64,s,s,s,95,s,24
10X141,Riverdale / Kingsbridge Academy (Middle School / H,"MS:Open, Screened, Zoned, HS:Screened",1182,44,208,761,14,102,53,862,115,210,251,9,18,158,s^,57,s,129,23,54
10X225,Theatre Arts Production Company School,"MS:Screened, HS:Audition",610,7,204,368,11,10,10,535,65,160,85,s,29,47,s,s,s,76,8,19
10X368,In-Tech Academy (M.S. / High School 368),"MS:Open, Screened, Zoned, HS:Screened",818,26,138,615,15,15,9,707,139,207,161,s,17,129,s,s,s,140,38,38
10X434,Belmont Preparatory High School,HS:Screened,2077,63,519,1360,36,64,35,1818,308,433,158,s,49,95,s,7,s,134,12,38
10X437,Fordham High School for the Arts,HS:Audition,1873,41,523,1177,29,56,47,1591,260,463,156,s,44,96,s,8,s,127,6,34
10X442,"Celia Cruz Bronx High School of Music, The",HS:Audition,565,8,174,350,9,11,13,476,79,144,164,s,61,92,s,s,s,137,7,37
12X478,The Cinema School,HS:Screened,1075,23,258,740,19,24,11,973,178,274,117,s,28,84,s,s,s,102,11,25
13K265,Dr. Susan S. McKinney Secondary School of the Arts,"MS:Screened, HS:Audition",466,12,304,116,12,11,11,393,18,132,80,s,52,24,s,s,s,70,s,13
13K595,Bedford Academy High School,HS:Screened,3111,240,1906,678,67,96,124,2355,129,446,115,15,79,10,s,6,s,74,s,19
13K670,Benjamin Banneker Academy,HS:Screened,2909,136,1907,644,57,56,109,2249,92,439,299,9,213,58,8,s^,s,232,8,53
14K614,Young Women's Leadership School of Brooklyn,"MS:Screened, HS:Screened",357,19,166,145,6,7,14,277,25,87,97,9,44,37,s,s,s,84,6,18
15K429,Digital Arts and Cinema Technology High School,HS:Screened,1009,54,417,402,27,71,38,756,52,280,125,s,44,58,s,12,s,89,s,26
15K497,The Boerum Hill School for International Studies,"MS:Open, HS:Screened",655,36,175,164,28,198,54,303,26,142,131,s,33,34,s,48,6,54,s,23
15K656,Brooklyn High School of the Arts,HS:Audition,1886,95,912,534,51,195,99,1318,64,402,260,15,119,75,10,24,17,156,s,29
15K684,Millennium Brooklyn HS,HS:Screened,5753,1277,1385,1146,141,1321,483,3218,148,589,312,106,s^,31,s,107,39,153,s,34
17K543,"Science, Technology and Research Early College Hig","MS:Screened, HS:Screened",1080,121,665,178,21,60,35,800,34,136,138,14,97,16,s,s,s,94,s,17
17K590,Medgar Evers College Preparatory School,"MS:Screened, HS:Screened",2950,133,2191,328,68,69,161,2124,56,364,286,13,231,20,13,s,s^,214,s,36
19K409,East New York Family Academy,"MS:Screened, HS:Screened",489,22,311,134,9,s^,s,422,34,156,122,s,71,39,s,s,s,104,6,27
21K468,Kingsborough Early College School,"MS:Open, HS:Screened",1794,275,606,362,41,398,112,1211,86,213,121,11,31,42,s,30,s,95,s,22
22K535,Leon M. Goldstein High School for the Sciences,HS:Screened,4536,1508,655,471,102,1466,334,2647,119,312,511,173,72,48,12,178,28,267,s,49
22K555,Brooklyn College Academy,HS:Screened,3490,601,1679,641,65,298,206,2473,130,389,201,12,135,23,s,s^,16,120,6,35
24Q299,Bard High School Early College Queens,HS:Screened,4825,1453,603,1143,149,946,531,2479,105,353,267,94,46,45,8,44,30,169,s,36
24Q520,Middle College High School at LaGuardia Community,HS:Screened,2237,288,198,1449,34,171,97,1716,268,450,105,11,s,75,s,14,s,78,6,20
24Q610,Aviation Career & Technical Education High School,HS:Screened,4134,1143,274,2016,79,430,192,3046,353,602,635,261,18,244,8,74,30,456,19,88
25Q252,"Queens School of Inquiry, The","MS:Open, HS:Screened",809,257,120,203,21,137,71,488,52,117,132,47,19,17,s,39,s^,69,s,15
25Q525,Townsend Harris High School,HS:Screened,8123,3563,827,1709,187,1056,781,4600,205,375,577,336,23,43,16,84,75,228,s,55
27Q323,Scholars' Academy,"MS:Screened, HS:Screened",1527,384,315,346,41,297,144,875,32,161,199,31,25,36,s,103,s,77,s,33
27Q650,"High School for Construction Trades, Engineering a",HS:Screened,2561,721,413,949,78,218,182,1818,153,405,304,84,25,99,11,57,28,186,s,48
28Q284,York Early College Academy,"MS:Limited Unscreened, HS:Screened",1745,465,682,270,97,52,179,1146,51,202,92,22,53,s,10,s,s,72,s,15
28Q680,Queens Gateway to Health Sciences Secondary School,"MS:Screened, HS:Screened",1579,651,379,306,68,62,113,1050,105,132,147,68,36,15,s^,s,16,76,s,20
28Q690,High School for Law Enforcement and Public Safety,HS:Screened,488,76,202,150,20,17,23,379,43,106,138,26,60,32,10,s,s^,108,10,24
28Q896,"Young Women's Leadership School, Queens","MS:Screened, HS:Screened",529,170,171,100,19,23,46,344,35,61,118,50,37,16,s,s,8,85,s,16
30Q286,"Young Women's Leadership School, Astoria","MS:Screened, HS:Screened",567,151,53,231,8,63,61,375,40,73,100,32,s^,35,s,20,7,64,s,17
30Q501,Frank Sinatra School of the Arts High School,HS:Audition,2987,338,501,1056,94,721,277,1480,110,420,322,51,22,68,14,126,41,87,s,34
30Q580,Baccalaureate School for Global Education,"MS:Screened, HS:Screened",3586,1505,219,790,103,611,358,2008,84,172,209,110,s,27,7,58,s,95,s,21
