dbn,Total,Asian,Black,Hispanic,Other,White,Private,Poverty,ELL,SWD
09X413,151.0,5.0,56.0,80.0,5.0,5.0,5.0,127.0,27.0,38.0
09X568,112.0,6.0,36.0,64.0,5.0,5.0,5.0,95.0,5.0,24.0
10X141,251.0,9.0,18.0,158.0,9.0,57.0,5.0,129.0,23.0,54.0
10X225,85.0,5.0,29.0,47.0,5.0,5.0,5.0,76.0,8.0,19.0
10X368,161.0,5.0,17.0,129.0,5.0,5.0,5.0,140.0,38.0,38.0
10X434,158.0,5.0,49.0,95.0,5.0,7.0,5.0,134.0,12.0,38.0
10X437,156.0,5.0,44.0,96.0,5.0,8.0,5.0,127.0,6.0,34.0
10X442,164.0,5.0,61.0,92.0,5.0,5.0,5.0,137.0,7.0,37.0
12X478,117.0,5.0,28.0,84.0,5.0,5.0,5.0,102.0,11.0,25.0
13K265,80.0,4.0,52.0,24.0,4.0,4.0,4.0,70.0,4.0,13.0
13K595,115.0,15.0,79.0,10.0,5.0,6.0,5.0,74.0,5.0,19.0
13K670,299.0,9.0,213.0,58.0,8.0,11.0,5.0,232.0,8.0,53.0
14K614,97.0,9.0,44.0,37.0,5.0,5.0,5.0,84.0,6.0,18.0
15K429,125.0,5.0,44.0,58.0,5.0,12.0,5.0,89.0,5.0,26.0
15K497,131.0,5.0,33.0,34.0,5.0,48.0,6.0,54.0,5.0,23.0
15K656,260.0,15.0,119.0,75.0,10.0,24.0,17.0,156.0,0.0,29.0
15K684,312.0,106.0,29.0,31.0,5.0,107.0,39.0,153.0,5.0,34.0
17K543,138.0,14.0,97.0,16.0,5.0,5.0,5.0,94.0,5.0,17.0
17K590,286.0,13.0,231.0,20.0,13.0,5.0,9.0,214.0,5.0,36.0
19K409,122.0,5.0,71.0,39.0,5.0,5.0,5.0,104.0,6.0,27.0
21K468,121.0,11.0,31.0,42.0,5.0,30.0,5.0,95.0,5.0,22.0
22K535,511.0,173.0,72.0,48.0,12.0,178.0,28.0,267.0,0.0,49.0
22K555,201.0,12.0,135.0,23.0,5.0,15.0,16.0,120.0,6.0,35.0
24Q299,267.0,94.0,46.0,45.0,8.0,44.0,30.0,169.0,0.0,36.0
24Q520,105.0,11.0,5.0,75.0,5.0,14.0,5.0,78.0,6.0,20.0
24Q610,635.0,261.0,18.0,244.0,8.0,74.0,30.0,456.0,19.0,88.0
25Q252,132.0,47.0,19.0,17.0,5.0,39.0,10.0,69.0,5.0,15.0
25Q525,577.0,336.0,23.0,43.0,16.0,84.0,75.0,228.0,0.0,55.0
27Q323,199.0,31.0,25.0,36.0,4.0,103.0,4.0,77.0,4.0,33.0
27Q650,304.0,84.0,25.0,99.0,11.0,57.0,28.0,186.0,0.0,48.0
28Q284,92.0,22.0,53.0,5.0,10.0,5.0,5.0,72.0,5.0,15.0
28Q680,147.0,68.0,36.0,15.0,12.0,5.0,16.0,76.0,5.0,20.0
28Q690,138.0,26.0,60.0,32.0,10.0,5.0,10.0,108.0,10.0,24.0
28Q896,118.0,50.0,37.0,16.0,5.0,5.0,8.0,85.0,5.0,16.0
30Q286,100.0,32.0,6.0,35.0,5.0,20.0,7.0,64.0,5.0,17.0
30Q501,322.0,51.0,22.0,68.0,14.0,126.0,41.0,87.0,0.0,34.0
30Q580,209.0,110.0,5.0,27.0,7.0,58.0,5.0,95.0,5.0,21.0
